Asset_ID,Asset_XCords,Asset_YCords,latitude,longitude
27636,519260,193472,51.6274340449726,-0.2784504443124997
27637,519378,193345,51.62626767359952,-0.2767897777668343
27638,519351,193351,51.62632731844069,-0.2771776036094933
27639,519306,193360,51.62641773647704,-0.277824322650136
27640,519269,193368,51.62649746986735,-0.2783558672793962
27641,523605,192230,51.615335550086506,-0.2161483038304082
27642,523638,192215,51.61519350637921,-0.2156772147845259
27643,523667,192205,51.61509727329947,-0.2152621082161709
27644,523691,192197,51.61502011018154,-0.2149184758297163
27645,523724,192194,51.6149859046067,-0.2144431617259436
27646,523757,192202,51.61505055317735,-0.2139639677590098
27647,523790,192198,51.61500735682841,-0.2134890070293252
27648,523822,192206,51.615072221232765,-0.2130242471007946
27649,523849,192187,51.61489553624169,-0.2126411958667628
27650,523881,192183,51.614852554414014,-0.2121806735890441
27651,523913,192186,51.61487247911628,-0.211717679644584
27652,523946,192190,51.614901168928085,-0.2112398965643801
27653,523976,192204,51.61502038584002,-0.2108018852336096
27654,524003,192216,51.61512228750401,-0.2104078851938935
27655,524039,192222,51.615168285357335,-0.2098860850321058
27656,524071,192226,51.615197187858655,-0.2094227334059241
27657,524102,192230,51.615226308768165,-0.2089738167777046
27658,524132,192233,51.61524666136377,-0.2085396890234839
27659,524169,192236,51.61526546986195,-0.2080045120880758
27660,524207,192239,51.61528405548713,-0.2074548992218838
27661,524240,192242,51.6153037409964,-0.2069774637221372
27662,524274,192250,51.61536813840011,-0.2064838209743318
27663,524274,192229,51.61517941396671,-0.2064912605273877
27664,524292,192221,51.615103548812,-0.2062342559250316
27665,524309,192204,51.61494702182896,-0.2059948768719152
27666,524338,192208,51.6149765709536,-0.2055748317189513
27667,524374,192218,51.615058494774246,-0.205051610698895
27668,524402,192194,51.6148366289432,-0.2046559288989584
27669,524428,192175,51.61466013778349,-0.2042873481335897
27670,524454,192152,51.6144476980231,-0.2039201892853608
27671,524467,192147,51.61439989234843,-0.2037343049716549
27672,524464,192151,51.61443650245555,-0.2037761915324544
27673,523675,192208,51.61512247825375,-0.2151455661600606
